"#file:///C:/Users/dell/Desktop/PHD/Movin videos/T1/77099_1_baby_gym_kam3.avi -- offset: 0, duration: 00:11:05.996 / 665.996 / 665996, ms per sample: 40.0"
Begin Time - ss.msec	End Time - ss.msec	Duration - ss.msec	R_hold	R_non-touch	L_hold	L-non-touch	bi_hold	bi_non-touch	R_exp	L_exp	bi_exp	R_touch	L_touch	bi_touch	L_sync
14.793	17.241	2.448			L_hold										
17.496	19.111	1.615							R_exp						
22.18	23.47	1.29													L_sync
24.97	26.47	1.5													L_sync
28.23	29.68	1.45													L_sync
35.069	36.557	1.488													L_sync
41.78	42.7	0.92													L_sync
61.31	63.344	2.034			L_hold										
80.758	83.827	3.069			L_hold										
87.963	93.231	5.268			L_hold										
96.837	100.142	3.305	R_hold												
102.793	104.275	1.482								L_exp					
138.748	141.803	3.055			L_hold										
157.818	160.615	2.797							R_exp						
158.295	159.012	0.717								L_exp					
179.33	183.551	4.221						bi_non-touch							
187.068	188.448	1.38	R_hold												
236.275	237.655	1.38	R_hold												
238.181	241.248	3.067				L_non-touch									
264.689	265.724	1.035	R_hold												
267.01	273.943	6.933								L_exp					
293.517	295.482	1.965								L_exp					
311.608	312.654	1.046										R_touch			
315.482	319.068	3.586				L_non-touch									
320.413	321.896	1.483	R_hold												
332.586	338.275	5.689								L_exp					
342.782	345.275	2.493							R_exp						
351.482	352.772	1.29					bi_hold								
363.724	366.206	2.482			L_hold										
371.482	372.586	1.104			L_hold										
390.103	392.31	2.207			L_hold										
396.515	398.088	1.573			L_hold										
407.53	410.433	2.903			L_hold										
410.965	412.172	1.207										R_touch			
413.275	414.62	1.345	R_hold												
424.103	425.275	1.172			L_hold										
434.78	436.306	1.526					bi_hold								
448.241	449.517	1.276			L_hold										
464.517	465.689	1.172	R_hold												
482.758	483.517	0.759	R_hold												
488.729	489.742	1.013										R_touch			
533.931	535.724	1.793			L_hold										
549.241	550.241	1.0	R_hold												
551.103	552.034	0.931			L_hold										
557.724	561.103	3.379							R_exp						
622.551	623.586	1.035											L_touch		

