// General information: 
//  MT Manager version: 2020.0.2 
//  XDA version: 2020.0.2 build 5355 rev 106296 built on 2020-10-15
// Device information: 
//  DeviceId: 00B45ADA
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	AccHR_X	AccHR_Y	AccHR_Z	Gyr_X	Gyr_Y	Gyr_Z	GyrHR_X	GyrHR_Y	GyrHR_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Roll	Pitch	Yaw	Latitude	Longitude	Altitude	Vel_E	Vel_N	Vel_U	Temperature
28492	NaN	9.377319	-3.037073	-0.745810	-0.046386	-0.046231	0.072143	NaN	NaN	NaN	-0.012496	-0.018238	-0.028941	NaN	NaN	NaN	-0.939941	-0.015869	-0.020996	0.156278	-0.050657	-0.012401	1.000000	-0.000104	-0.000152	-0.000241	-104.715893	-71.311066	177.851479	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28493	NaN	9.319786	-3.044757	-0.780167	-0.009508	-0.019275	0.022818	NaN	NaN	NaN	-0.000198	-0.011819	-0.006281	NaN	NaN	NaN	-0.935059	-0.019531	-0.011963	0.155328	-0.050754	-0.012987	1.000000	-0.000002	-0.000098	-0.000052	-104.746749	-71.313565	177.882175	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28494	NaN	9.329963	-3.109058	-0.779541	0.045005	-0.040054	0.052327	NaN	NaN	NaN	-0.010381	-0.010754	0.002661	NaN	NaN	NaN	-0.934082	-0.020020	-0.009033	0.155502	-0.051815	-0.012974	1.000000	-0.000087	-0.000090	0.000022	-104.779154	-71.308120	177.905184	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28495	NaN	9.324449	-3.077401	-0.782976	0.017664	-0.029271	0.037573	NaN	NaN	NaN	-0.016110	-0.007674	0.008164	NaN	NaN	NaN	-0.943359	-0.019775	-0.008301	0.155412	-0.051281	-0.013033	1.000000	-0.000134	-0.000064	0.000068	-104.804980	-71.298328	177.915774	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28496	NaN	9.297254	-3.094887	-0.758640	0.033413	-0.060123	0.015235	NaN	NaN	NaN	-0.033481	-0.013201	0.010245	NaN	NaN	NaN	-0.945801	-0.015137	-0.007324	0.154960	-0.051572	-0.012613	1.000000	-0.000279	-0.000110	0.000085	-104.860948	-71.285246	177.940514	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28497	NaN	9.311388	-3.092472	-0.730080	0.016249	-0.089705	0.025505	NaN	NaN	NaN	-0.039110	-0.012936	0.011386	NaN	NaN	NaN	-0.935791	-0.012451	-0.016602	0.155196	-0.051530	-0.012134	1.000000	-0.000326	-0.000108	0.000095	-104.920577	-71.270962	177.963633	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28498	NaN	9.309265	-3.078539	-0.662588	-0.017738	-0.153203	0.013556	NaN	NaN	NaN	-0.034106	-0.014282	0.019419	NaN	NaN	NaN	-0.941650	-0.013672	-0.007080	0.155164	-0.051287	-0.011010	1.000000	-0.000284	-0.000119	0.000162	-104.972127	-71.248918	177.982616	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28499	NaN	9.246902	-3.081037	-0.726286	0.016550	-0.097389	-0.039473	NaN	NaN	NaN	-0.035102	-0.032271	0.037177	NaN	NaN	NaN	-0.943604	-0.009521	-0.003418	0.154134	-0.051306	-0.012048	1.000000	-0.000293	-0.000269	0.000310	-105.061453	-71.206006	178.041275	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28500	NaN	9.287849	-2.969132	-0.620219	-0.134990	-0.170449	-0.044511	NaN	NaN	NaN	-0.017864	-0.037219	0.035657	NaN	NaN	NaN	-0.932617	-0.010010	-0.015869	0.154815	-0.049441	-0.010282	1.000000	-0.000149	-0.000310	0.000297	-105.148672	-71.163049	178.115519	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28501	NaN	9.290153	-2.999741	-0.603024	-0.119534	-0.197098	-0.034349	NaN	NaN	NaN	0.016461	-0.006475	0.035744	NaN	NaN	NaN	-0.942139	-0.022705	-0.017090	0.154851	-0.049948	-0.010049	1.000000	0.000137	-0.000054	0.000298	-105.118537	-71.127858	178.099280	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28502	NaN	9.184975	-3.109225	-0.656334	0.023203	-0.177162	-0.095183	NaN	NaN	NaN	0.040987	-0.011118	0.026579	NaN	NaN	NaN	-0.938965	-0.011230	-0.012695	0.153095	-0.051783	-0.010942	1.000000	0.000342	-0.000093	0.000221	-105.084603	-71.100553	178.102955	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28503	NaN	9.313573	-3.094132	-0.691355	-0.026073	-0.136198	0.024743	NaN	NaN	NaN	0.028266	-0.007980	0.016319	NaN	NaN	NaN	-0.946289	-0.004639	-0.008301	0.155234	-0.051545	-0.011524	1.000000	0.000236	-0.000067	0.000136	-105.061871	-71.082951	178.106565	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28504	NaN	9.290511	-3.156769	-0.779857	0.059939	-0.068332	0.030011	NaN	NaN	NaN	0.020214	-0.001541	0.014160	NaN	NaN	NaN	-0.935059	-0.010254	-0.010498	0.154848	-0.052592	-0.013004	1.000000	0.000168	-0.000013	0.000118	-105.031265	-71.068625	178.094214	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28505	NaN	9.375684	-3.057011	-0.838026	-0.046204	0.018496	0.084210	NaN	NaN	NaN	0.043872	-0.021997	0.034493	NaN	NaN	NaN	-0.935303	-0.010986	-0.009766	0.156279	-0.050900	-0.013957	1.000000	0.000366	-0.000183	0.000287	-105.018461	-71.030758	178.124399	NaN	NaN	NaN	NaN	NaN	NaN	0.00
28506	NaN	9.552454	-2.887594	-0.787404	-0.283351	0.026731	0.193638	NaN	NaN	NaN	0.152423	-0.014645	0.112045	NaN	NaN	NaN	-0.936279	-0.006592	-0.008057	0.159254	-0.047961	-0.013165	0.999999	0.001270	-0.000122	0.000934	-104.827195	-70.923212	178.075458	NaN	NaN	NaN	NaN	NaN	NaN	0.00
