// General information: 
//  MT Manager version: 2020.0.2 
//  XDA version: 2020.0.2 build 5355 rev 106296 built on 2020-10-15
// Device information: 
//  DeviceId: 00B45AFD
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	AccHR_X	AccHR_Y	AccHR_Z	Gyr_X	Gyr_Y	Gyr_Z	GyrHR_X	GyrHR_Y	GyrHR_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Roll	Pitch	Yaw	Latitude	Longitude	Altitude	Vel_E	Vel_N	Vel_U	Temperature
34686	NaN	-0.219696	-3.875042	-8.811393	0.010341	-0.016644	-0.184371	NaN	NaN	NaN	0.000394	0.009647	0.005305	NaN	NaN	NaN	0.196045	0.279785	0.804199	-0.003671	-0.064584	-0.146856	1.000000	0.000003	0.000080	0.000044	-156.148129	1.343251	15.800343	NaN	NaN	NaN	NaN	NaN	NaN	0.00
34687	NaN	-0.227536	-3.872584	-8.800104	0.001997	-0.015333	-0.195501	NaN	NaN	NaN	-0.016579	0.004565	0.005449	NaN	NaN	NaN	0.198730	0.281250	0.809082	-0.003795	-0.064563	-0.146659	1.000000	-0.000138	0.000038	0.000045	-156.163458	1.348070	15.799910	NaN	NaN	NaN	NaN	NaN	NaN	0.00
34688	NaN	-0.219021	-3.870322	-8.813485	0.012576	-0.016239	-0.184373	NaN	NaN	NaN	-0.030925	0.000822	0.007488	NaN	NaN	NaN	0.203857	0.281738	0.802490	-0.003647	-0.064543	-0.146875	1.000000	-0.000258	0.000007	0.000062	-156.192493	1.356969	15.799232	NaN	NaN	NaN	NaN	NaN	NaN	0.00
34689	NaN	-0.233140	-3.844840	-8.809557	0.004667	-0.035506	-0.197899	NaN	NaN	NaN	-0.036796	0.001080	0.010477	NaN	NaN	NaN	0.206299	0.276367	0.805420	-0.003881	-0.064126	-0.146806	1.000000	-0.000307	0.000009	0.000087	-156.227150	1.366894	15.796440	NaN	NaN	NaN	NaN	NaN	NaN	0.00
34690	NaN	-0.249900	-3.846787	-8.822731	-0.010000	-0.037158	-0.184639	NaN	NaN	NaN	-0.038092	-0.002534	0.008969	NaN	NaN	NaN	0.202637	0.284180	0.806885	-0.004157	-0.064160	-0.147025	1.000000	-0.000317	-0.000021	0.000075	-156.263060	1.379421	15.796218	NaN	NaN	NaN	NaN	NaN	NaN	0.00
34691	NaN	-0.223236	-3.849329	-8.840669	0.017759	-0.027955	-0.167819	NaN	NaN	NaN	-0.040263	-0.003035	0.009223	NaN	NaN	NaN	0.203125	0.288818	0.791992	-0.003712	-0.064205	-0.147323	1.000000	-0.000336	-0.000025	0.000077	-156.300937	1.392410	15.795952	NaN	NaN	NaN	NaN	NaN	NaN	0.00
34692	NaN	-0.252225	-3.834779	-8.827890	-0.007713	-0.036798	-0.184636	NaN	NaN	NaN	-0.043560	-0.006283	0.011006	NaN	NaN	NaN	0.188965	0.287109	0.800781	-0.004190	-0.063967	-0.147109	1.000000	-0.000363	-0.000052	0.000092	-156.341833	1.408972	15.796034	NaN	NaN	NaN	NaN	NaN	NaN	0.00
34693	NaN	-0.266713	-3.851206	-8.855467	-0.021051	-0.030247	-0.152416	NaN	NaN	NaN	-0.031935	-0.005879	0.008964	NaN	NaN	NaN	0.200195	0.285889	0.807617	-0.004433	-0.064226	-0.147574	1.000000	-0.000266	-0.000049	0.000075	-156.371652	1.424156	15.796460	NaN	NaN	NaN	NaN	NaN	NaN	0.00
34694	NaN	-0.238891	-3.817335	-8.821357	0.010327	-0.034572	-0.197900	NaN	NaN	NaN	-0.027330	-0.001997	0.009613	NaN	NaN	NaN	0.203369	0.283936	0.798096	-0.003974	-0.063656	-0.147008	1.000000	-0.000228	-0.000017	0.000080	-156.397172	1.436339	15.795306	NaN	NaN	NaN	NaN	NaN	NaN	0.00
34695	NaN	-0.234819	-3.831805	-8.817746	0.011044	-0.013813	-0.195505	NaN	NaN	NaN	-0.037323	-0.004638	0.008197	NaN	NaN	NaN	0.196045	0.273193	0.802246	-0.003904	-0.063909	-0.146943	1.000000	-0.000311	-0.000039	0.000068	-156.432161	1.450365	15.796802	NaN	NaN	NaN	NaN	NaN	NaN	0.00
34696	NaN	-0.238087	-3.821799	-8.840077	0.013949	-0.025930	-0.178948	NaN	NaN	NaN	-0.034131	-0.003464	0.011266	NaN	NaN	NaN	0.201904	0.276855	0.799316	-0.003958	-0.063739	-0.147317	1.000000	-0.000284	-0.000029	0.000094	-156.464321	1.464423	15.794225	NaN	NaN	NaN	NaN	NaN	NaN	0.00
