// General information: 
//  MT Manager version: 2020.0.2 
//  XDA version: 2020.0.2 build 5355 rev 106296 built on 2020-10-15
// Device information: 
//  DeviceId: 00B45ADA
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	AccHR_X	AccHR_Y	AccHR_Z	Gyr_X	Gyr_Y	Gyr_Z	GyrHR_X	GyrHR_Y	GyrHR_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Roll	Pitch	Yaw	Latitude	Longitude	Altitude	Vel_E	Vel_N	Vel_U	Temperature
24516	NaN	-4.652170	-2.775060	-8.214597	0.007719	0.034191	0.027130	NaN	NaN	NaN	-0.022849	-0.047699	-0.015570	NaN	NaN	NaN	0.574463	-0.000977	0.697998	-0.077488	-0.046267	-0.136932	1.000000	-0.000190	-0.000397	-0.000130	-161.529403	28.120081	-47.100548	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24517	NaN	-4.635561	-2.771667	-8.234316	0.020480	0.004911	0.034854	NaN	NaN	NaN	0.007929	-0.052757	-0.015229	NaN	NaN	NaN	0.571777	-0.010986	0.694580	-0.077205	-0.046176	-0.137276	1.000000	0.000066	-0.000440	-0.000127	-161.507016	28.164272	-47.066137	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24518	NaN	-4.617598	-2.755534	-8.239151	0.021190	-0.026588	0.025891	NaN	NaN	NaN	0.019346	-0.056384	-0.011755	NaN	NaN	NaN	0.567139	-0.000977	0.687988	-0.076900	-0.045896	-0.137363	1.000000	0.000161	-0.000470	-0.000098	-161.474954	28.212794	-47.034439	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24519	NaN	-4.635468	-2.775376	-8.182650	0.023718	0.016941	-0.007322	NaN	NaN	NaN	0.026484	-0.051280	-0.009759	NaN	NaN	NaN	0.574219	-0.007080	0.696289	-0.077203	-0.046220	-0.136421	1.000000	0.000221	-0.000427	-0.000081	-161.437645	28.257241	-47.006122	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24520	NaN	-4.637638	-2.746705	-8.057607	-0.008130	0.061798	-0.118709	NaN	NaN	NaN	0.023825	-0.053901	-0.007285	NaN	NaN	NaN	0.581299	0.000977	0.688721	-0.077236	-0.045747	-0.134337	1.000000	0.000199	-0.000449	-0.000061	-161.403746	28.304820	-46.979689	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24521	NaN	-4.641884	-2.704202	-8.026296	-0.045017	0.051043	-0.154707	NaN	NaN	NaN	0.013152	-0.038111	-0.003915	NaN	NaN	NaN	0.570801	-0.002930	0.691162	-0.077324	-0.045053	-0.133801	1.000000	0.000110	-0.000318	-0.000033	-161.384073	28.339248	-46.961454	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24522	NaN	-4.691357	-2.712418	-8.023578	-0.065846	0.084903	-0.131143	NaN	NaN	NaN	-0.015440	-0.022623	-0.005465	NaN	NaN	NaN	0.571533	-0.004150	0.688232	-0.078166	-0.045221	-0.133735	1.000000	-0.000129	-0.000189	-0.000046	-161.393577	28.359029	-46.947568	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24523	NaN	-4.633067	-2.758144	-8.008859	0.008312	0.080043	-0.158258	NaN	NaN	NaN	-0.034860	-0.013087	-0.006415	NaN	NaN	NaN	0.569580	-0.003418	0.690430	-0.077206	-0.046004	-0.133476	1.000000	-0.000290	-0.000109	-0.000053	-161.422736	28.369930	-46.935962	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24524	NaN	-4.582243	-2.774356	-8.010449	0.055581	0.058677	-0.176570	NaN	NaN	NaN	-0.035348	0.014513	0.004881	NaN	NaN	NaN	0.574219	-0.010498	0.687012	-0.076385	-0.046282	-0.133485	1.000000	-0.000295	0.000121	0.000041	-161.462403	28.359236	-46.945603	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24525	NaN	-4.620665	-2.715682	-7.973429	-0.014436	0.079573	-0.205685	NaN	NaN	NaN	-0.041671	0.042868	0.013183	NaN	NaN	NaN	0.575195	0.002197	0.688965	-0.077054	-0.045316	-0.132847	1.000000	-0.000347	0.000357	0.000110	-161.516881	28.325484	-46.973547	NaN	NaN	NaN	NaN	NaN	NaN	0.00
