// General information: 
//  MT Manager version: 2020.0.2 
//  XDA version: 2020.0.2 build 5355 rev 106296 built on 2020-10-15
// Device information: 
//  DeviceId: 00B45ADB
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	AccHR_X	AccHR_Y	AccHR_Z	Gyr_X	Gyr_Y	Gyr_Z	GyrHR_X	GyrHR_Y	GyrHR_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Roll	Pitch	Yaw	Latitude	Longitude	Altitude	Vel_E	Vel_N	Vel_U	Temperature
24516	NaN	0.348726	9.472106	1.610145	0.121561	-0.179815	-0.200829	NaN	NaN	NaN	0.089950	-0.039063	-0.119697	NaN	NaN	NaN	0.521729	-1.258789	0.009033	0.005961	0.157842	0.026956	0.999999	0.000750	-0.000326	-0.000997	81.603277	-1.557279	12.911352	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24517	NaN	0.222095	9.531994	1.621097	0.018221	-0.223305	-0.143875	NaN	NaN	NaN	0.121845	-0.017625	-0.110838	NaN	NaN	NaN	0.521973	-1.272705	0.007568	0.003844	0.158836	0.027180	0.999999	0.001015	-0.000147	-0.000924	81.720313	-1.453327	12.880689	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24518	NaN	0.160508	9.472504	1.592102	-0.024107	-0.236494	-0.208923	NaN	NaN	NaN	0.170875	-0.006599	-0.088458	NaN	NaN	NaN	0.520996	-1.259766	0.004883	0.002790	0.157835	0.026760	0.999999	0.001424	-0.000055	-0.000737	81.883774	-1.368951	12.863756	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24519	NaN	0.177442	9.523500	1.494927	-0.012432	-0.161503	-0.172305	NaN	NaN	NaN	0.239115	0.000483	-0.060769	NaN	NaN	NaN	0.526855	-1.267334	0.020996	0.003038	0.158673	0.025232	0.999998	0.001993	0.000004	-0.000506	82.112122	-1.309757	12.857494	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24520	NaN	0.151584	9.617470	1.410698	-0.044342	-0.112744	-0.091889	NaN	NaN	NaN	0.277873	0.009086	-0.027707	NaN	NaN	NaN	0.537842	-1.260742	0.021973	0.002565	0.160236	0.023883	0.999997	0.002316	0.000076	-0.000231	82.377185	-1.280709	12.863893	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24521	NaN	0.136464	9.716479	1.333315	-0.068236	-0.074229	-0.004734	NaN	NaN	NaN	0.299872	0.014129	0.005158	NaN	NaN	NaN	0.524658	-1.267090	0.028076	0.002270	0.161885	0.022626	0.999997	0.002499	0.000118	0.000043	82.663052	-1.282181	12.879294	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24522	NaN	0.165922	9.784896	1.230677	-0.057011	-0.008274	0.050515	NaN	NaN	NaN	0.295713	0.013544	0.033693	NaN	NaN	NaN	0.520752	-1.269287	0.032959	0.002722	0.163031	0.020913	0.999997	0.002464	0.000113	0.000281	82.944876	-1.310831	12.897549	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24523	NaN	0.096865	9.807398	1.143720	-0.140398	0.016796	0.060629	NaN	NaN	NaN	0.264779	0.022229	0.052238	NaN	NaN	NaN	0.518799	-1.268555	0.041504	0.001547	0.163415	0.019422	0.999997	0.002206	0.000185	0.000435	83.196910	-1.356142	12.926043	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24524	NaN	0.176161	9.808095	1.001521	-0.093170	0.128271	0.046700	NaN	NaN	NaN	0.261122	-0.012540	0.058672	NaN	NaN	NaN	0.520996	-1.279053	0.046387	0.002854	0.163433	0.017048	0.999998	0.002176	-0.000105	0.000489	83.446212	-1.411538	12.922067	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24525	NaN	0.163581	9.880515	0.922455	-0.125489	0.165424	0.109962	NaN	NaN	NaN	0.265515	-0.000364	0.053733	NaN	NaN	NaN	0.522949	-1.265625	0.054688	0.002653	0.164642	0.015739	0.999997	0.002213	-0.000003	0.000448	83.699446	-1.460926	12.928878	NaN	NaN	NaN	NaN	NaN	NaN	0.00
