// General information: 
//  MT Manager version: 2020.0.2 
//  XDA version: 2020.0.2 build 5355 rev 106296 built on 2020-10-15
// Device information: 
//  DeviceId: 00B45AF7
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	AccHR_X	AccHR_Y	AccHR_Z	Gyr_X	Gyr_Y	Gyr_Z	GyrHR_X	GyrHR_Y	GyrHR_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Roll	Pitch	Yaw	Latitude	Longitude	Altitude	Vel_E	Vel_N	Vel_U	Temperature
24516	NaN	-9.860028	0.969155	-1.208547	0.194105	0.057376	0.166211	NaN	NaN	NaN	-0.100941	-0.505008	-0.061346	NaN	NaN	NaN	0.939941	-0.158203	-0.246094	-0.164239	0.016219	-0.020847	0.999991	-0.000841	-0.004208	-0.000511	133.001526	81.655671	-58.157411	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24517	NaN	-9.802126	0.991427	-1.081867	0.156253	0.026569	0.097367	NaN	NaN	NaN	-0.080057	-0.563591	-0.053358	NaN	NaN	NaN	0.932861	-0.170166	-0.259766	-0.163274	0.016584	-0.018809	0.999989	-0.000667	-0.004697	-0.000445	130.371800	82.051513	-60.735737	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24518	NaN	-9.726357	1.060792	-0.983016	0.144788	-0.057737	0.019326	NaN	NaN	NaN	-0.060322	-0.610998	-0.043510	NaN	NaN	NaN	0.926758	-0.156250	-0.274170	-0.162013	0.017730	-0.017218	0.999987	-0.000503	-0.005092	-0.000363	127.178099	82.449098	-63.900536	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24519	NaN	-9.785908	1.149078	-0.826339	0.070215	-0.131820	0.073869	NaN	NaN	NaN	-0.046420	-0.633529	-0.015424	NaN	NaN	NaN	0.928711	-0.164795	-0.276611	-0.163020	0.019167	-0.014641	0.999986	-0.000387	-0.005279	-0.000129	123.398181	82.811063	-67.666266	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24520	NaN	-9.855284	1.156480	-0.777943	0.126092	-0.143478	0.138778	NaN	NaN	NaN	-0.045643	-0.701374	0.011680	NaN	NaN	NaN	0.931885	-0.155273	-0.292480	-0.164177	0.019254	-0.013933	0.999983	-0.000380	-0.005845	0.000097	118.665611	83.147062	-72.390231	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24521	NaN	-9.817736	1.227659	-0.762298	0.217412	-0.237108	0.105546	NaN	NaN	NaN	-0.053946	-0.765843	-0.003874	NaN	NaN	NaN	0.920654	-0.161377	-0.304932	-0.163543	0.020460	-0.013758	0.999980	-0.000450	-0.006382	-0.000032	113.036252	83.470302	-78.005231	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24522	NaN	-9.910897	1.327299	-0.731224	0.292167	-0.345264	0.203113	NaN	NaN	NaN	-0.062298	-0.794338	-0.022668	NaN	NaN	NaN	0.916748	-0.162109	-0.318115	-0.165092	0.022146	-0.013292	0.999978	-0.000519	-0.006619	-0.000189	106.688232	83.749429	-84.332401	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24523	NaN	-9.843754	1.406551	-0.577967	0.257457	-0.430753	0.135105	NaN	NaN	NaN	-0.077968	-0.809016	-0.029401	NaN	NaN	NaN	0.908447	-0.158447	-0.325195	-0.163987	0.023476	-0.010754	0.999977	-0.000650	-0.006742	-0.000245	99.705449	83.954336	-91.280088	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24524	NaN	-9.880427	1.416526	-0.449962	0.261567	-0.441955	0.165618	NaN	NaN	NaN	-0.099960	-0.808726	-0.017734	NaN	NaN	NaN	0.905029	-0.163574	-0.343506	-0.164615	0.023626	-0.008629	0.999977	-0.000833	-0.006739	-0.000148	92.330354	84.053508	-98.599049	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24525	NaN	-9.916551	1.319018	-0.336578	0.302369	-0.349263	0.186118	NaN	NaN	NaN	-0.136056	-0.811063	-0.006381	NaN	NaN	NaN	0.902588	-0.149902	-0.353760	-0.165232	0.021985	-0.006751	0.999977	-0.001134	-0.006759	-0.000053	84.785138	84.041261	-106.054133	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24526	NaN	-9.853840	1.257633	-0.191732	0.304980	-0.295540	0.113772	NaN	NaN	NaN	-0.162960	-0.829028	-0.009323	NaN	NaN	NaN	0.900879	-0.147949	-0.364258	-0.164202	0.020968	-0.004358	0.999975	-0.001358	-0.006909	-0.000078	77.206953	83.927956	-113.516608	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24527	NaN	-9.770988	1.263854	-0.058321	0.306161	-0.312654	0.030066	NaN	NaN	NaN	-0.192707	-0.838715	-0.011837	NaN	NaN	NaN	0.891602	-0.157471	-0.379883	-0.162835	0.021077	-0.002144	0.999974	-0.001606	-0.006989	-0.000099	69.908265	83.713995	-120.671654	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24528	NaN	-9.678613	1.287811	0.117984	0.260126	-0.340240	-0.057541	NaN	NaN	NaN	-0.223287	-0.832382	-0.013061	NaN	NaN	NaN	0.884766	-0.152588	-0.389404	-0.161316	0.021483	0.000807	0.999974	-0.001861	-0.006936	-0.000109	63.196928	83.410597	-127.210499	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24529	NaN	-9.683390	1.206681	0.266934	0.264874	-0.261686	-0.057940	NaN	NaN	NaN	-0.255007	-0.836768	-0.016095	NaN	NaN	NaN	0.878174	-0.142822	-0.398682	-0.161413	0.020141	0.003281	0.999973	-0.002125	-0.006973	-0.000134	57.068859	83.027796	-133.135837	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24530	NaN	-9.742444	1.146868	0.430449	0.259036	-0.198551	0.000952	NaN	NaN	NaN	-0.286039	-0.863374	-0.022272	NaN	NaN	NaN	0.868896	-0.143066	-0.413086	-0.162416	0.019160	0.005960	0.999971	-0.002384	-0.007195	-0.000186	51.408801	82.565511	-138.564492	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24531	NaN	-9.777650	1.037392	0.608860	0.249432	-0.088933	0.035020	NaN	NaN	NaN	-0.301119	-0.881319	-0.029897	NaN	NaN	NaN	0.865723	-0.140381	-0.427734	-0.163025	0.017354	0.008907	0.999970	-0.002509	-0.007344	-0.000249	46.297807	82.035420	-143.430906	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24532	NaN	-9.787032	0.946659	0.800226	0.223358	-0.000149	0.049906	NaN	NaN	NaN	-0.296573	-0.890725	-0.038452	NaN	NaN	NaN	0.856201	-0.139404	-0.451660	-0.163205	0.015861	0.012087	0.999969	-0.002471	-0.007423	-0.000320	41.760274	81.451695	-147.728869	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24533	NaN	-9.723285	0.931005	0.992679	0.175035	0.008009	0.003721	NaN	NaN	NaN	-0.286779	-0.888007	-0.036908	NaN	NaN	NaN	0.846436	-0.141846	-0.456055	-0.162166	0.015604	0.015308	0.999970	-0.002390	-0.007400	-0.000308	37.830668	80.824691	-151.427930	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24534	NaN	-9.654789	0.984193	1.183713	0.113966	-0.051082	-0.036830	NaN	NaN	NaN	-0.275753	-0.871782	-0.025383	NaN	NaN	NaN	0.847900	-0.131104	-0.471191	-0.161047	0.016481	0.018521	0.999971	-0.002298	-0.007265	-0.000212	34.516280	80.169311	-154.521005	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24535	NaN	-9.588894	0.988865	1.470795	-0.035786	-0.044396	-0.061637	NaN	NaN	NaN	-0.264275	-0.863878	-0.005672	NaN	NaN	NaN	0.842041	-0.137695	-0.487549	-0.159985	0.016541	0.023326	0.999972	-0.002202	-0.007199	-0.000047	31.725398	79.484061	-157.099103	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24536	NaN	-9.566908	0.844260	1.715019	-0.115956	0.107867	-0.058048	NaN	NaN	NaN	-0.235213	-0.862912	0.007945	NaN	NaN	NaN	0.829346	-0.127686	-0.491699	-0.159649	0.014115	0.027408	0.999972	-0.001960	-0.007191	0.000066	29.354098	78.772963	-159.284557	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24537	NaN	-9.533000	0.665950	1.949770	-0.184190	0.291951	-0.065777	NaN	NaN	NaN	-0.181925	-0.879431	0.001876	NaN	NaN	NaN	0.820801	-0.126953	-0.511230	-0.159116	0.011145	0.031314	0.999972	-0.001516	-0.007329	0.000016	27.245844	78.035486	-161.258537	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24538	NaN	-9.368700	0.430858	2.247956	-0.332592	0.532501	-0.188987	NaN	NaN	NaN	-0.115582	-0.881575	-0.019670	NaN	NaN	NaN	0.816895	-0.124756	-0.524902	-0.156413	0.007242	0.036311	0.999973	-0.000963	-0.007346	-0.000164	25.350463	77.291608	-163.084906	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24539	NaN	-9.263227	0.374216	2.451379	-0.408035	0.585943	-0.249983	NaN	NaN	NaN	-0.047395	-0.846075	-0.045666	NaN	NaN	NaN	0.805664	-0.125977	-0.533936	-0.154668	0.006312	0.039764	0.999975	-0.000395	-0.007051	-0.000381	23.686635	76.577222	-164.745623	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24540	NaN	-9.315134	0.495353	2.544639	-0.373118	0.455736	-0.161576	NaN	NaN	NaN	0.002214	-0.812002	-0.077961	NaN	NaN	NaN	0.798584	-0.118164	-0.539795	-0.155529	0.008356	0.041359	0.999977	0.000018	-0.006767	-0.000650	22.173021	75.894678	-166.305490	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24541	NaN	-9.309857	0.661080	2.663103	-0.383128	0.279133	-0.118544	NaN	NaN	NaN	0.025227	-0.822709	-0.103552	NaN	NaN	NaN	0.793213	-0.123779	-0.552490	-0.155454	0.011143	0.043322	0.999976	0.000210	-0.006856	-0.000863	20.721920	75.202397	-167.827874	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24542	NaN	-9.425792	0.844962	2.718618	-0.300944	0.077974	0.028660	NaN	NaN	NaN	0.027986	-0.855879	-0.120549	NaN	NaN	NaN	0.777832	-0.115479	-0.559814	-0.157400	0.014230	0.044192	0.999974	0.000233	-0.007132	-0.001005	19.314256	74.476500	-169.313371	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24543	NaN	-9.459902	1.074672	2.730758	-0.198271	-0.182230	0.088194	NaN	NaN	NaN	0.018701	-0.879507	-0.118592	NaN	NaN	NaN	0.766357	-0.118408	-0.575439	-0.157975	0.018060	0.044358	0.999973	0.000156	-0.007329	-0.000988	18.008688	73.719642	-170.688505	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24544	NaN	-9.402075	1.214309	2.795710	-0.154869	-0.348987	0.063648	NaN	NaN	NaN	-0.005566	-0.895146	-0.094345	NaN	NaN	NaN	0.764648	-0.116943	-0.592285	-0.157027	0.020364	0.045424	0.999972	-0.000046	-0.007459	-0.000786	16.858142	72.933608	-171.883270	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24545	NaN	-9.323222	1.211872	2.833549	-0.071083	-0.376823	-0.000894	NaN	NaN	NaN	-0.030476	-0.894988	-0.054365	NaN	NaN	NaN	0.755127	-0.108643	-0.600830	-0.155724	0.020280	0.046060	0.999972	-0.000254	-0.007458	-0.000453	15.901578	72.130855	-172.854786	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24546	NaN	-9.273548	1.150085	2.924041	-0.020494	-0.331444	-0.027015	NaN	NaN	NaN	-0.070510	-0.886871	-0.010945	NaN	NaN	NaN	0.742188	-0.114502	-0.605469	-0.154912	0.019210	0.047579	0.999973	-0.000588	-0.007391	-0.000091	15.114579	71.320199	-173.611625	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24547	NaN	-9.136321	1.007101	3.140015	-0.106554	-0.184671	-0.101910	NaN	NaN	NaN	-0.108300	-0.861041	0.024786	NaN	NaN	NaN	0.735840	-0.118164	-0.621582	-0.152646	0.016800	0.051224	0.999974	-0.000902	-0.007175	0.000207	14.467375	70.521765	-174.186309	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24548	NaN	-9.003663	0.884432	3.341883	-0.188833	-0.057193	-0.170281	NaN	NaN	NaN	-0.120939	-0.802926	0.029838	NaN	NaN	NaN	0.734131	-0.113525	-0.638184	-0.150433	0.014759	0.054677	0.999977	-0.001008	-0.006691	0.000249	13.904956	69.773973	-174.660905	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24549	NaN	-8.966644	0.763421	3.552791	-0.257037	0.072530	-0.141428	NaN	NaN	NaN	-0.140193	-0.751142	0.014641	NaN	NaN	NaN	0.719727	-0.108887	-0.645508	-0.149812	0.012774	0.058261	0.999980	-0.001168	-0.006259	0.000122	13.353773	69.076144	-175.105851	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24550	NaN	-9.069004	0.653027	3.697541	-0.221111	0.182336	-0.001381	NaN	NaN	NaN	-0.149354	-0.728834	-0.010508	NaN	NaN	NaN	0.713379	-0.110596	-0.640625	-0.151520	0.010973	0.060693	0.999981	-0.001245	-0.006074	-0.000088	12.778379	68.402970	-175.569332	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24551	NaN	-9.163478	0.577704	3.863009	-0.209194	0.255573	0.142989	NaN	NaN	NaN	-0.161677	-0.750279	-0.029941	NaN	NaN	NaN	0.704834	-0.102295	-0.658936	-0.153121	0.009752	0.063414	0.999980	-0.001347	-0.006252	-0.000250	12.167652	67.712256	-176.060657	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24552	NaN	-9.212646	0.525847	3.926080	-0.117487	0.285060	0.210634	NaN	NaN	NaN	-0.164799	-0.771771	-0.042300	NaN	NaN	NaN	0.700928	-0.106934	-0.667969	-0.153958	0.008907	0.064433	0.999978	-0.001373	-0.006431	-0.000353	11.549103	67.001776	-176.559349	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24553	NaN	-9.296076	0.436374	3.932695	0.049193	0.342422	0.284457	NaN	NaN	NaN	-0.162961	-0.798350	-0.043863	NaN	NaN	NaN	0.689209	-0.103271	-0.672607	-0.155363	0.007418	0.064502	0.999977	-0.001358	-0.006653	-0.000366	10.951281	66.264761	-177.040435	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24554	NaN	-9.306241	0.411742	4.018716	0.112447	0.346397	0.325924	NaN	NaN	NaN	-0.144642	-0.823806	-0.028595	NaN	NaN	NaN	0.671143	-0.103516	-0.692383	-0.155557	0.006979	0.065903	0.999976	-0.001205	-0.006865	-0.000238	10.424336	65.499350	-177.465744	NaN	NaN	NaN	NaN	NaN	NaN	0.00
