// General information: 
//  MT Manager version: 2020.0.2 
//  XDA version: 2020.0.2 build 5355 rev 106296 built on 2020-10-15
// Device information: 
//  DeviceId: 00B45AFD
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	AccHR_X	AccHR_Y	AccHR_Z	Gyr_X	Gyr_Y	Gyr_Z	GyrHR_X	GyrHR_Y	GyrHR_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Roll	Pitch	Yaw	Latitude	Longitude	Altitude	Vel_E	Vel_N	Vel_U	Temperature
24516	NaN	0.964667	-4.108681	9.005047	-0.073036	0.075180	0.131744	NaN	NaN	NaN	-0.050241	0.038543	-0.045112	NaN	NaN	NaN	0.207275	0.559326	-1.049561	0.016100	-0.068421	0.150108	1.000000	-0.000419	0.000321	-0.000376	-24.958561	-6.010955	-3.029148	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24517	NaN	0.887542	-4.087480	9.175529	-0.162787	0.178625	0.268341	NaN	NaN	NaN	-0.049390	-0.013568	-0.051751	NaN	NaN	NaN	0.204834	0.552734	-1.052979	0.014746	-0.068068	0.152955	1.000000	-0.000412	-0.000113	-0.000431	-25.000909	-6.053328	-3.069095	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24518	NaN	1.077601	-4.107975	9.065348	0.024052	0.113174	0.197498	NaN	NaN	NaN	-0.076882	-0.032930	-0.044064	NaN	NaN	NaN	0.198975	0.559326	-1.058838	0.017893	-0.068376	0.151138	1.000000	-0.000641	-0.000274	-0.000367	-25.070621	-6.109444	-3.094083	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24519	NaN	1.069167	-4.126553	9.015342	0.010846	0.085348	0.159300	NaN	NaN	NaN	-0.045245	-0.007601	-0.027146	NaN	NaN	NaN	0.204346	0.556152	-1.050781	0.017794	-0.068723	0.150283	1.000000	-0.000377	-0.000063	-0.000226	-25.110654	-6.137078	-3.114806	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24520	NaN	0.852391	-4.195977	9.130949	-0.225832	0.092442	0.269349	NaN	NaN	NaN	-0.055508	-0.039158	-0.018540	NaN	NaN	NaN	0.212646	0.562744	-1.051758	0.014146	-0.069865	0.152219	1.000000	-0.000463	-0.000326	-0.000154	-25.162677	-6.188174	-3.115026	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24521	NaN	1.004176	-4.344813	8.894109	-0.084444	-0.137866	0.135416	NaN	NaN	NaN	-0.101478	-0.102657	-0.014839	NaN	NaN	NaN	0.198730	0.559814	-1.051270	0.016600	-0.072290	0.148311	0.999999	-0.000846	-0.000855	-0.000124	-25.261946	-6.292306	-3.086001	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24522	NaN	0.969631	-4.328022	9.013232	-0.142677	-0.053771	0.231566	NaN	NaN	NaN	-0.073970	-0.090364	-0.016178	NaN	NaN	NaN	0.195801	0.561035	-1.053467	0.016038	-0.072043	0.150277	1.000000	-0.000616	-0.000753	-0.000135	-25.334178	-6.386749	-3.063071	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24523	NaN	1.093544	-4.390306	8.654067	-0.013413	-0.260317	-0.050744	NaN	NaN	NaN	-0.050132	-0.097713	0.001738	NaN	NaN	NaN	0.191895	0.563721	-1.049316	0.018109	-0.073111	0.144280	1.000000	-0.000418	-0.000814	0.000014	-25.385747	-6.480211	-3.021428	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24524	NaN	1.225661	-4.357094	8.526373	0.121207	-0.298534	-0.164801	NaN	NaN	NaN	0.137365	-0.022763	0.023560	NaN	NaN	NaN	0.196533	0.554688	-1.054688	0.020415	-0.072777	0.142027	0.999999	0.001145	-0.000190	0.000196	-25.257102	-6.500118	-2.991854	NaN	NaN	NaN	NaN	NaN	NaN	0.00
24525	NaN	0.913071	-3.997712	8.980792	-0.194402	0.214898	0.055747	NaN	NaN	NaN	0.146805	-0.007947	0.022912	NaN	NaN	NaN	0.198486	0.563477	-1.052979	0.015221	-0.066809	0.149599	0.999999	0.001223	-0.000066	0.000191	-25.118478	-6.507397	-2.968571	NaN	NaN	NaN	NaN	NaN	NaN	0.00
