// General information: 
//  MT Manager version: 2020.0.2 
//  XDA version: 2020.0.2 build 5355 rev 106296 built on 2020-10-15
// Device information: 
//  DeviceId: 00B45B00
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	AccHR_X	AccHR_Y	AccHR_Z	Gyr_X	Gyr_Y	Gyr_Z	GyrHR_X	GyrHR_Y	GyrHR_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Roll	Pitch	Yaw	Latitude	Longitude	Altitude	Vel_E	Vel_N	Vel_U	Temperature
26798	NaN	1.295732	9.232026	-2.923921	-0.010895	0.003372	-0.042406	NaN	NaN	NaN	-0.009037	0.002602	0.022994	NaN	NaN	NaN	-0.267822	-1.205566	1.159424	0.021565	0.153868	-0.048744	1.000000	-0.000075	0.000022	0.000192	107.503398	-7.626880	74.536281	NaN	NaN	NaN	NaN	NaN	NaN	0.00
26799	NaN	1.290065	9.223288	-2.900519	0.005093	-0.008104	-0.058394	NaN	NaN	NaN	-0.009572	0.002280	0.023684	NaN	NaN	NaN	-0.270264	-1.211914	1.162354	0.021470	0.153722	-0.048355	1.000000	-0.000080	0.000019	0.000197	107.495951	-7.646062	74.532477	NaN	NaN	NaN	NaN	NaN	NaN	0.00
26800	NaN	1.289341	9.257922	-2.906644	0.005573	-0.017639	-0.023931	NaN	NaN	NaN	-0.012894	0.006620	0.027827	NaN	NaN	NaN	-0.275879	-1.209473	1.168701	0.021451	0.154298	-0.048462	1.000000	-0.000107	0.000055	0.000232	107.484929	-7.670275	74.531463	NaN	NaN	NaN	NaN	NaN	NaN	0.00
26801	NaN	1.273745	9.234591	-2.912176	-0.013675	-0.030752	-0.046433	NaN	NaN	NaN	-0.024817	0.006545	0.039675	NaN	NaN	NaN	-0.273438	-1.203857	1.174072	0.021176	0.153907	-0.048569	1.000000	-0.000207	0.000055	0.000331	107.463111	-7.705343	74.527114	NaN	NaN	NaN	NaN	NaN	NaN	0.00
26802	NaN	1.288115	9.198915	-2.880734	0.006056	-0.021627	-0.087596	NaN	NaN	NaN	-0.013875	0.000498	0.042239	NaN	NaN	NaN	-0.276855	-1.212158	1.163574	0.021414	0.153317	-0.048030	1.000000	-0.000116	0.000004	0.000352	107.452746	-7.740979	74.516458	NaN	NaN	NaN	NaN	NaN	NaN	0.00
26803	NaN	1.321500	9.238795	-2.881491	0.022060	-0.003441	-0.045181	NaN	NaN	NaN	0.000371	0.002949	0.042236	NaN	NaN	NaN	-0.271973	-1.213867	1.162842	0.021970	0.153988	-0.048025	1.000000	0.000003	0.000025	0.000352	107.455423	-7.777321	74.508003	NaN	NaN	NaN	NaN	NaN	NaN	0.00
26804	NaN	1.328945	9.237835	-2.881142	0.022366	-0.002980	-0.045182	NaN	NaN	NaN	-0.003937	0.003822	0.052366	NaN	NaN	NaN	-0.275391	-1.209473	1.170410	0.022080	0.153972	-0.048025	1.000000	-0.000033	0.000032	0.000436	107.454255	-7.823041	74.497258	NaN	NaN	NaN	NaN	NaN	NaN	0.00
26805	NaN	1.335476	9.230817	-2.932373	-0.028229	0.007774	-0.035703	NaN	NaN	NaN	-0.009199	0.011214	0.058297	NaN	NaN	NaN	-0.272461	-1.211182	1.167236	0.022179	0.153854	-0.048887	1.000000	-0.000077	0.000093	0.000486	107.447546	-7.876338	74.491727	NaN	NaN	NaN	NaN	NaN	NaN	0.00
26806	NaN	1.338244	9.246661	-2.907134	-0.004294	-0.007232	-0.027853	NaN	NaN	NaN	-0.016659	0.014044	0.066202	NaN	NaN	NaN	-0.279053	-1.217285	1.159424	0.022213	0.154117	-0.048476	1.000000	-0.000139	0.000117	0.000552	107.433608	-7.937570	74.486388	NaN	NaN	NaN	NaN	NaN	NaN	0.00
26807	NaN	1.372688	9.209037	-2.890216	0.007446	0.020287	-0.063662	NaN	NaN	NaN	0.002768	0.020705	0.059804	NaN	NaN	NaN	-0.278320	-1.212158	1.169434	0.022793	0.153496	-0.048171	1.000000	0.000023	0.000173	0.000498	107.436917	-7.994942	74.489080	NaN	NaN	NaN	NaN	NaN	NaN	0.00
26808	NaN	1.327345	9.245259	-2.880747	0.012167	-0.043074	-0.038571	NaN	NaN	NaN	0.014628	0.018949	0.069431	NaN	NaN	NaN	-0.285400	-1.214111	1.161377	0.022026	0.154106	-0.047997	1.000000	0.000122	0.000158	0.000579	107.452402	-8.060565	74.487383	NaN	NaN	NaN	NaN	NaN	NaN	0.00
26809	NaN	1.309384	9.236836	-2.889570	-0.003059	-0.070360	-0.046508	NaN	NaN	NaN	0.026375	0.023551	0.095448	NaN	NaN	NaN	-0.283203	-1.201416	1.162109	0.021691	0.153975	-0.048130	1.000000	0.000220	0.000196	0.000795	107.479396	-8.151286	74.482460	NaN	NaN	NaN	NaN	NaN	NaN	0.00
26810	NaN	1.317041	9.231650	-2.839785	0.044309	-0.090870	-0.065274	NaN	NaN	NaN	0.030046	0.002972	0.128176	NaN	NaN	NaN	-0.282715	-1.210205	1.168213	0.021785	0.153896	-0.047292	0.999999	0.000250	0.000025	0.001068	107.514162	-8.265862	74.449051	NaN	NaN	NaN	NaN	NaN	NaN	0.00
26811	NaN	1.323927	9.200331	-2.816061	0.064171	-0.106546	-0.101172	NaN	NaN	NaN	0.081800	-0.004480	0.162002	NaN	NaN	NaN	-0.287842	-1.202393	1.169678	0.021860	0.153400	-0.046829	0.999999	0.000682	-0.000037	0.001350	107.600804	-8.408952	74.398620	NaN	NaN	NaN	NaN	NaN	NaN	0.00
