// General information: 
//  MT Manager version: 2020.0.2 
//  XDA version: 2020.0.2 build 5355 rev 106296 built on 2020-10-15
// Device information: 
//  DeviceId: 00B45996
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	AccHR_X	AccHR_Y	AccHR_Z	Gyr_X	Gyr_Y	Gyr_Z	GyrHR_X	GyrHR_Y	GyrHR_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Roll	Pitch	Yaw	Latitude	Longitude	Altitude	Vel_E	Vel_N	Vel_U	Temperature
39580	NaN	-9.456069	1.851788	-1.216577	-0.018045	-0.092216	-0.100963	NaN	NaN	NaN	0.004514	0.031787	0.009575	NaN	NaN	NaN	0.896484	-0.363037	0.497559	-0.157609	0.030851	-0.020233	1.000000	0.000038	0.000265	0.000080	121.338384	76.500883	135.127985	NaN	NaN	NaN	NaN	NaN	NaN	0.00
39581	NaN	-9.444399	1.869738	-1.213808	-0.015882	-0.073012	-0.109062	NaN	NaN	NaN	0.012851	0.027049	0.017163	NaN	NaN	NaN	0.894043	-0.366943	0.495117	-0.157416	0.031142	-0.020191	1.000000	0.000107	0.000225	0.000143	121.413387	76.473988	135.184617	NaN	NaN	NaN	NaN	NaN	NaN	0.00
39582	NaN	-9.472872	1.907876	-1.222823	-0.023179	-0.045086	-0.072666	NaN	NaN	NaN	0.019083	0.021613	0.022590	NaN	NaN	NaN	0.888428	-0.366943	0.493408	-0.157891	0.031771	-0.020347	1.000000	0.000159	0.000180	0.000188	121.464319	76.445345	135.210678	NaN	NaN	NaN	NaN	NaN	NaN	0.00
39583	NaN	-9.471287	1.951430	-1.199933	-0.006069	0.000458	-0.068296	NaN	NaN	NaN	0.027180	0.021446	0.023709	NaN	NaN	NaN	0.895996	-0.366699	0.499512	-0.157865	0.032497	-0.019963	1.000000	0.000227	0.000179	0.000198	121.519905	76.415864	135.233661	NaN	NaN	NaN	NaN	NaN	NaN	0.00
39584	NaN	-9.488918	2.006143	-1.201460	-0.011277	0.047345	-0.040006	NaN	NaN	NaN	0.033528	0.022472	0.026353	NaN	NaN	NaN	0.887939	-0.373535	0.497803	-0.158160	0.033407	-0.019985	1.000000	0.000279	0.000187	0.000220	121.579550	76.383712	135.254386	NaN	NaN	NaN	NaN	NaN	NaN	0.00
39585	NaN	-9.488152	2.024450	-1.180911	0.009741	0.068117	-0.039600	NaN	NaN	NaN	0.031447	0.021239	0.022264	NaN	NaN	NaN	0.887451	-0.364990	0.493896	-0.158146	0.033717	-0.019645	1.000000	0.000262	0.000177	0.000186	121.641137	76.355427	135.279673	NaN	NaN	NaN	NaN	NaN	NaN	0.00
39586	NaN	-9.487508	2.042171	-1.160481	0.030753	0.088896	-0.039196	NaN	NaN	NaN	0.032161	0.024046	0.018477	NaN	NaN	NaN	0.888672	-0.372314	0.499756	-0.158134	0.034017	-0.019301	1.000000	0.000268	0.000200	0.000154	121.720424	76.328898	135.322056	NaN	NaN	NaN	NaN	NaN	NaN	0.00
39587	NaN	-9.484666	2.094776	-1.161324	0.023148	0.138650	-0.031283	NaN	NaN	NaN	0.027183	0.021009	0.014494	NaN	NaN	NaN	0.890137	-0.373779	0.494629	-0.158085	0.034898	-0.019320	1.000000	0.000227	0.000175	0.000121	121.792856	76.307029	135.362601	NaN	NaN	NaN	NaN	NaN	NaN	0.00
39588	NaN	-9.502859	2.099638	-1.201912	-0.009503	0.129969	-0.007565	NaN	NaN	NaN	0.017483	0.018797	0.009653	NaN	NaN	NaN	0.891846	-0.365723	0.500244	-0.158387	0.034984	-0.020002	1.000000	0.000146	0.000157	0.000080	121.858218	76.290215	135.405590	NaN	NaN	NaN	NaN	NaN	NaN	0.00
39589	NaN	-9.492325	2.083485	-1.211643	-0.013876	0.114143	-0.019833	NaN	NaN	NaN	0.004045	0.014303	0.001814	NaN	NaN	NaN	0.895264	-0.371338	0.496582	-0.158208	0.034723	-0.020174	1.000000	0.000034	0.000119	0.000015	121.912270	76.282054	135.449545	NaN	NaN	NaN	NaN	NaN	NaN	0.00
