// General information: 
//  MT Manager version: 2020.0.2 
//  XDA version: 2020.0.2 build 5355 rev 106296 built on 2020-10-15
// Device information: 
//  DeviceId: 00B45AF7
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	AccHR_X	AccHR_Y	AccHR_Z	Gyr_X	Gyr_Y	Gyr_Z	GyrHR_X	GyrHR_Y	GyrHR_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Roll	Pitch	Yaw	Latitude	Longitude	Altitude	Vel_E	Vel_N	Vel_U	Temperature
42134	NaN	-8.269719	-0.958765	-5.019498	0.118178	0.259076	-0.095614	NaN	NaN	NaN	0.369464	0.177803	-0.126844	NaN	NaN	NaN	0.970947	-0.062256	0.195068	-0.137969	-0.015576	-0.083502	0.999994	0.003079	0.001482	-0.001057	-171.945115	58.783134	-5.093615	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42135	NaN	-8.553774	-0.634825	-4.934691	-0.202139	-0.064699	0.080541	NaN	NaN	NaN	0.297585	0.187150	-0.122683	NaN	NaN	NaN	0.970215	-0.068359	0.195313	-0.142702	-0.010231	-0.082048	0.999995	0.002480	0.001560	-0.001022	-171.509356	58.586544	-4.913272	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42136	NaN	-8.608113	-0.921727	-5.230392	0.047079	0.120713	0.301131	NaN	NaN	NaN	0.181963	0.077159	-0.105348	NaN	NaN	NaN	0.965576	-0.062988	0.189941	-0.143538	-0.015104	-0.087104	0.999998	0.001516	0.000643	-0.000878	-171.188298	58.495806	-4.737639	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42137	NaN	-8.466247	-1.281870	-5.236911	0.185408	0.438124	0.213248	NaN	NaN	NaN	0.167695	0.075942	-0.079222	NaN	NaN	NaN	0.965576	-0.057129	0.190918	-0.141173	-0.021149	-0.087222	0.999999	0.001397	0.000633	-0.000660	-170.921956	58.409746	-4.609961	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42138	NaN	-8.656521	-1.510158	-5.105922	0.005054	0.677839	0.327668	NaN	NaN	NaN	0.151060	0.147264	-0.059508	NaN	NaN	NaN	0.965576	-0.070557	0.196777	-0.144392	-0.024991	-0.084953	0.999998	0.001259	0.001227	-0.000496	-170.720202	58.259175	-4.539344	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42139	NaN	-8.818979	-1.531742	-5.065905	-0.133347	0.699475	0.447767	NaN	NaN	NaN	0.137103	0.125369	-0.044161	NaN	NaN	NaN	0.966797	-0.059082	0.195557	-0.147080	-0.025379	-0.084307	0.999999	0.001143	0.001045	-0.000368	-170.550968	58.131487	-4.491339	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42140	NaN	-8.521152	-1.326535	-5.083095	-0.027131	0.470929	0.186564	NaN	NaN	NaN	0.148778	0.102515	-0.014624	NaN	NaN	NaN	0.960205	-0.060791	0.196777	-0.142094	-0.021987	-0.084624	0.999999	0.001240	0.000854	-0.000122	-170.409887	58.029966	-4.489514	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42141	NaN	-8.170775	-0.966719	-4.962956	-0.038599	0.126787	-0.204907	NaN	NaN	NaN	0.137089	0.133070	0.023890	NaN	NaN	NaN	0.969482	-0.060791	0.208740	-0.136268	-0.016045	-0.082583	0.999999	0.001142	0.001109	0.000199	-170.346055	57.905835	-4.565709	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42142	NaN	-8.120371	-0.866822	-5.025690	-0.001770	0.013223	-0.223675	NaN	NaN	NaN	0.070281	0.119202	0.049160	NaN	NaN	NaN	0.966797	-0.057617	0.205566	-0.135417	-0.014453	-0.083635	0.999999	0.000586	0.000993	0.000410	-170.380043	57.798733	-4.682246	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42143	NaN	-7.977884	-0.808423	-5.437501	0.387333	-0.138778	-0.132951	NaN	NaN	NaN	-0.018995	0.033556	0.061773	NaN	NaN	NaN	0.960938	-0.060547	0.207275	-0.132983	-0.013557	-0.090586	1.000000	-0.000158	0.000280	0.000515	-170.496085	57.774261	-4.795009	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42144	NaN	-7.430832	-0.635582	-5.440024	0.636482	-0.318693	-0.608971	NaN	NaN	NaN	-0.087115	0.062438	0.044840	NaN	NaN	NaN	0.962646	-0.060547	0.209961	-0.123890	-0.010705	-0.090595	1.000000	-0.000726	0.000520	0.000374	-170.658904	57.719756	-4.886254	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42145	NaN	-7.540267	-0.702187	-5.235051	0.410381	-0.183526	-0.617456	NaN	NaN	NaN	-0.139603	0.164110	0.023621	NaN	NaN	NaN	0.959473	-0.062012	0.198975	-0.125788	-0.011829	-0.087065	0.999998	-0.001163	0.001368	0.000197	-170.864323	57.565960	-4.968674	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42146	NaN	-7.715446	-0.884194	-5.139639	0.252611	0.044748	-0.503559	NaN	NaN	NaN	-0.161876	0.202780	0.011949	NaN	NaN	NaN	0.967773	-0.063232	0.213379	-0.128734	-0.014865	-0.085423	0.999998	-0.001349	0.001690	0.000100	-171.081588	57.373868	-5.039905	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42147	NaN	-8.142998	-1.131927	-5.016080	-0.057978	0.355975	-0.188733	NaN	NaN	NaN	-0.173059	0.243951	-0.010503	NaN	NaN	NaN	0.962402	-0.071289	0.218506	-0.135888	-0.018974	-0.083298	0.999997	-0.001442	0.002033	-0.000088	-171.284317	57.139390	-5.081423	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42148	NaN	-8.529400	-1.503890	-5.072097	-0.178617	0.741090	0.195174	NaN	NaN	NaN	-0.094350	0.211057	-0.023000	NaN	NaN	NaN	0.958984	-0.062500	0.221680	-0.142310	-0.025104	-0.084265	0.999998	-0.000786	0.001759	-0.000192	-171.385240	56.934108	-5.091384	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42149	NaN	-8.427639	-1.583859	-5.136561	-0.089576	0.808180	0.150078	NaN	NaN	NaN	-0.005200	0.210652	-0.023283	NaN	NaN	NaN	0.962646	-0.063721	0.221924	-0.140616	-0.026374	-0.085361	0.999998	-0.000043	0.001755	-0.000194	-171.399981	56.729179	-5.100132	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42150	NaN	-8.611201	-1.506012	-5.352886	-0.066698	0.692392	0.414252	NaN	NaN	NaN	0.089415	0.203603	-0.036656	NaN	NaN	NaN	0.962891	-0.064453	0.225830	-0.143679	-0.024990	-0.088990	0.999998	0.000745	0.001697	-0.000305	-171.303770	56.529034	-5.084208	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42151	NaN	-8.349426	-1.253796	-5.417280	0.042303	0.409878	0.210385	NaN	NaN	NaN	0.131623	0.169311	-0.052608	NaN	NaN	NaN	0.956055	-0.055664	0.216797	-0.139293	-0.020737	-0.090114	0.999998	0.001097	0.001411	-0.000438	-171.137759	56.358918	-5.032905	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42152	NaN	-8.130063	-0.879771	-5.632770	0.226976	-0.028397	0.114428	NaN	NaN	NaN	0.154870	0.157514	-0.056279	NaN	NaN	NaN	0.960449	-0.065186	0.235107	-0.135631	-0.014478	-0.093720	0.999998	0.001291	0.001313	-0.000469	-170.942743	56.199393	-4.973195	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42153	NaN	-7.914961	-0.563038	-5.629149	0.245636	-0.358974	-0.093548	NaN	NaN	NaN	0.081496	0.163335	-0.056609	NaN	NaN	NaN	0.959717	-0.058594	0.227539	-0.132048	-0.009258	-0.093646	0.999999	0.000679	0.001361	-0.000472	-170.819697	56.034099	-4.915891	NaN	NaN	NaN	NaN	NaN	NaN	0.00
