// General information: 
//  MT Manager version: 2020.0.2 
//  XDA version: 2020.0.2 build 5355 rev 106296 built on 2020-10-15
// Device information: 
//  DeviceId: 00B45AFC
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	AccHR_X	AccHR_Y	AccHR_Z	Gyr_X	Gyr_Y	Gyr_Z	GyrHR_X	GyrHR_Y	GyrHR_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Roll	Pitch	Yaw	Latitude	Longitude	Altitude	Vel_E	Vel_N	Vel_U	Temperature
42134	NaN	-5.846553	6.396114	-4.860962	-0.113077	0.060710	0.122347	NaN	NaN	NaN	0.052173	0.052191	0.026795	NaN	NaN	NaN	0.859375	-0.315918	0.517822	-0.097502	0.106615	-0.080927	1.000000	0.000435	0.000435	0.000223	126.356635	35.984166	59.040697	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42135	NaN	-5.730976	6.338178	-4.839886	-0.093733	0.108275	0.006710	NaN	NaN	NaN	0.046725	0.041004	0.014633	NaN	NaN	NaN	0.856201	-0.324951	0.516113	-0.095557	0.105656	-0.080591	1.000000	0.000389	0.000342	0.000122	126.421376	35.945381	59.069947	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42136	NaN	-5.611884	6.341809	-4.855353	-0.044178	0.192588	-0.053221	NaN	NaN	NaN	0.051811	0.037301	0.003756	NaN	NaN	NaN	0.852539	-0.315430	0.513184	-0.093560	0.105729	-0.080848	1.000000	0.000432	0.000311	0.000031	126.493299	35.916988	59.103224	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42137	NaN	-5.664978	6.350520	-4.812906	-0.031838	0.115586	-0.036658	NaN	NaN	NaN	0.054601	0.057843	0.006987	NaN	NaN	NaN	0.854980	-0.320801	0.517090	-0.094461	0.105873	-0.080121	1.000000	0.000455	0.000482	0.000058	126.577944	35.874403	59.153637	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42138	NaN	-5.756966	6.333542	-4.780902	-0.060324	0.014625	-0.009139	NaN	NaN	NaN	0.052923	0.062100	0.008342	NaN	NaN	NaN	0.852539	-0.315674	0.520020	-0.095998	0.105587	-0.079585	1.000000	0.000441	0.000517	0.000070	126.662690	35.828276	59.207020	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42139	NaN	-5.778180	6.338417	-4.697220	-0.016716	-0.071965	-0.034073	NaN	NaN	NaN	0.058622	0.056087	0.012949	NaN	NaN	NaN	0.846436	-0.314209	0.521973	-0.096351	0.105668	-0.078190	1.000000	0.000489	0.000467	0.000108	126.747579	35.781994	59.251384	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42140	NaN	-5.705751	6.356374	-4.759731	0.001854	0.011813	-0.034448	NaN	NaN	NaN	0.062979	0.060859	0.003840	NaN	NaN	NaN	0.845459	-0.317627	0.522217	-0.095139	0.105978	-0.079225	1.000000	0.000525	0.000507	0.000032	126.842908	35.739887	59.306553	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42141	NaN	-5.615674	6.385597	-4.794638	0.051666	0.088671	-0.051046	NaN	NaN	NaN	0.065369	0.074523	-0.001872	NaN	NaN	NaN	0.850830	-0.321289	0.521240	-0.093642	0.106472	-0.079794	1.000000	0.000545	0.000621	-0.000016	126.950252	35.694226	59.378473	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42142	NaN	-5.595620	6.378689	-4.838425	0.040544	0.118151	-0.045735	NaN	NaN	NaN	0.048055	0.096505	-0.004254	NaN	NaN	NaN	0.848877	-0.317871	0.521240	-0.093321	0.106347	-0.080523	1.000000	0.000400	0.000804	-0.000035	127.053915	35.637640	59.472539	NaN	NaN	NaN	NaN	NaN	NaN	0.00
42143	NaN	-5.650133	6.293053	-4.861481	-0.051556	0.071530	-0.058062	NaN	NaN	NaN	0.033204	0.123039	-0.005697	NaN	NaN	NaN	0.849854	-0.318359	0.522217	-0.094247	0.104911	-0.080899	0.999999	0.000277	0.001025	-0.000047	127.158262	35.566720	59.592278	NaN	NaN	NaN	NaN	NaN	NaN	0.00
