// General information: 
//  MT Manager version: 2020.0.2 
//  XDA version: 2020.0.2 build 5355 rev 106296 built on 2020-10-15
// Device information: 
//  DeviceId: 00B45AFE
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	FreeAcc_E	FreeAcc_N	FreeAcc_U	AccHR_X	AccHR_Y	AccHR_Z	Gyr_X	Gyr_Y	Gyr_Z	GyrHR_X	GyrHR_Y	GyrHR_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Roll	Pitch	Yaw	Latitude	Longitude	Altitude	Vel_E	Vel_N	Vel_U	Temperature
64671	NaN	-8.332871	-1.351508	-4.936585	-0.020947	-0.082260	-0.033833	NaN	NaN	NaN	0.000163	-0.003223	-0.002365	NaN	NaN	NaN	0.741211	-0.224121	0.536377	-0.138879	-0.022522	-0.082280	1.000000	0.000001	-0.000027	-0.000020	-164.451554	58.922067	-89.853082	NaN	NaN	NaN	NaN	NaN	NaN	0.00
64672	NaN	-8.335538	-1.365303	-4.931392	-0.006206	-0.078517	-0.032213	NaN	NaN	NaN	0.001824	-0.001959	0.000936	NaN	NaN	NaN	0.739990	-0.228027	0.536621	-0.138924	-0.022755	-0.082192	1.000000	0.000015	-0.000016	0.000008	-164.454316	58.914816	-89.855975	NaN	NaN	NaN	NaN	NaN	NaN	0.00
64673	NaN	-8.344134	-1.357362	-4.913489	-0.008619	-0.056585	-0.034850	NaN	NaN	NaN	0.000195	-0.004995	0.004525	NaN	NaN	NaN	0.732666	-0.225098	0.536377	-0.139065	-0.022628	-0.081897	1.000000	0.000002	-0.000042	0.000038	-164.462802	58.911368	-89.863887	NaN	NaN	NaN	NaN	NaN	NaN	0.00
64674	NaN	-8.341964	-1.343372	-4.917894	-0.022685	-0.057144	-0.036445	NaN	NaN	NaN	0.000089	-0.000793	0.001054	NaN	NaN	NaN	0.747314	-0.229980	0.538818	-0.139032	-0.022391	-0.081966	1.000000	0.000001	-0.000007	0.000009	-164.467816	58.903003	-89.868316	NaN	NaN	NaN	NaN	NaN	NaN	0.00
64675	NaN	-8.336421	-1.364649	-4.930081	-0.005192	-0.073826	-0.032176	NaN	NaN	NaN	0.000172	-0.004929	-0.001156	NaN	NaN	NaN	0.742676	-0.228027	0.543457	-0.138937	-0.022743	-0.082174	1.000000	0.000001	-0.000041	-0.000010	-164.467673	58.898336	-89.865880	NaN	NaN	NaN	NaN	NaN	NaN	0.00
64676	NaN	-8.334300	-1.351215	-4.934253	-0.019260	-0.074405	-0.033767	NaN	NaN	NaN	0.001328	-0.004024	-0.000550	NaN	NaN	NaN	0.738770	-0.222656	0.543457	-0.138902	-0.022519	-0.082242	1.000000	0.000011	-0.000034	-0.000005	-164.467659	58.892655	-89.866024	NaN	NaN	NaN	NaN	NaN	NaN	0.00
64677	NaN	-8.329266	-1.347648	-4.920728	-0.019002	-0.063786	-0.045295	NaN	NaN	NaN	-0.001324	-0.001025	-0.001505	NaN	NaN	NaN	0.747070	-0.225342	0.544434	-0.138821	-0.022460	-0.082013	1.000000	-0.000011	-0.000009	-0.000013	-164.469944	58.883857	-89.866320	NaN	NaN	NaN	NaN	NaN	NaN	0.00
64678	NaN	-8.331835	-1.361237	-4.915754	-0.004272	-0.060085	-0.043683	NaN	NaN	NaN	-0.001067	-0.001698	0.000447	NaN	NaN	NaN	0.741699	-0.238525	0.536377	-0.138863	-0.022689	-0.081931	1.000000	-0.000009	-0.000014	0.000004	-164.474706	58.876490	-89.869235	NaN	NaN	NaN	NaN	NaN	NaN	0.00
64679	NaN	-8.340005	-1.354918	-4.946609	-0.018200	-0.078829	-0.022187	NaN	NaN	NaN	0.000837	-0.002745	0.001228	NaN	NaN	NaN	0.733154	-0.226807	0.542969	-0.138998	-0.022583	-0.082447	1.000000	0.000007	-0.000023	0.000010	-164.478432	58.870822	-89.872297	NaN	NaN	NaN	NaN	NaN	NaN	0.00
64680	NaN	-8.343198	-1.343544	-4.915753	-0.020703	-0.047886	-0.036391	NaN	NaN	NaN	0.000828	-0.001039	0.000019	NaN	NaN	NaN	0.744385	-0.222168	0.541504	-0.139053	-0.022392	-0.081931	1.000000	0.000007	-0.000009	0.000000	-164.480917	58.862606	-89.875765	NaN	NaN	NaN	NaN	NaN	NaN	0.00
64681	NaN	-8.340565	-1.353656	-4.897509	-0.006046	-0.035215	-0.046331	NaN	NaN	NaN	0.001319	-0.002319	-0.001759	NaN	NaN	NaN	0.744873	-0.222412	0.545654	-0.139008	-0.022558	-0.081628	1.000000	0.000011	-0.000019	-0.000015	-164.479737	58.855517	-89.874380	NaN	NaN	NaN	NaN	NaN	NaN	0.00
64682	NaN	-8.324306	-1.369225	-4.931852	-0.000213	-0.074413	-0.040970	NaN	NaN	NaN	0.000252	-0.004016	-0.001311	NaN	NaN	NaN	0.742188	-0.225342	0.540527	-0.138736	-0.022819	-0.082202	1.000000	0.000002	-0.000033	-0.000011	-164.479493	58.849993	-89.873484	NaN	NaN	NaN	NaN	NaN	NaN	0.00
64683	NaN	-8.359476	-1.355269	-4.954069	-0.019518	-0.070439	-0.001721	NaN	NaN	NaN	0.000669	-0.002864	0.000330	NaN	NaN	NaN	0.744873	-0.225586	0.543457	-0.139323	-0.022588	-0.082571	1.000000	0.000006	-0.000024	0.000003	-164.481851	58.844134	-89.875634	NaN	NaN	NaN	NaN	NaN	NaN	0.00
